LAMBDAS,TRAINING DATA,TESTING DATA
0.0,[2187.16029493],[3707.84018113]
0.01,[2306.83221793],[2982.44611971]
0.02,[2354.07134393],[2900.97358708]
0.03,[2386.7801631],[2870.94158888]
0.04,[2412.119043],[2858.00040957]
0.05,[2433.1744367],[2852.66573517]
0.06,[2451.52849064],[2851.33021344]
0.07,[2468.07755253],[2852.34999406]
0.08,[2483.36564653],[2854.87973918]
0.09,[2497.74025857],[2858.44442115]
0.1,[2511.43228199],[2862.75794143]
0.11,[2524.60003852],[2867.63790917]
0.12,[2537.35489985],[2872.96228271]
0.13,[2549.77688678],[2878.64586939]
0.14,[2561.92452773],[2884.62691417]
0.15,[2573.84128774],[2890.85910969]
0.16,[2585.55987497],[2897.30665895]
0.17,[2597.10519217],[2903.94112629]
0.18,[2608.49640025],[2910.73937213]
0.19,[2619.74838623],[2917.68216413]
0.2,[2630.8728232],[2924.75322165]
0.21,[2641.87894616],[2931.93854417]
0.22,[2652.77412633],[2939.22592987]
0.23,[2663.56430077],[2946.60462378]
0.24,[2674.25429667],[2954.06505602]
0.25,[2684.84807809],[2961.59864341]
0.26,[2695.34893502],[2969.19763677]
0.27,[2705.75962912],[2976.85500119]
0.28,[2716.0825067],[2984.56432079]
0.29,[2726.31958674],[2992.31972181]
0.3,[2736.4726296],[3000.11580946]
0.31,[2746.54319109],[3007.94761559]
0.32,[2756.53266482],[3015.81055453]
0.33,[2766.44231574],[3023.70038563]
0.34,[2776.27330654],[3031.61318093]
0.35000000000000003,[2786.02671854],[3039.54529713]
0.36,[2795.70356824],[3047.49335111]
0.37,[2805.30482034],[3055.45419817]
0.38,[2814.83139806],[3063.42491285]
0.39,[2824.28419133],[3071.40277169]
0.4,[2833.66406312],[3079.38523776]
0.41000000000000003,[2842.97185452],[3087.36994673]
0.42,[2852.2083886],[3095.35469418]
0.43,[2861.3744735],[3103.33742413]
0.44,[2870.47090474],[3111.31621849]
0.45,[2879.49846701],[3119.28928746]
0.46,[2888.45793552],[3127.25496075]
0.47000000000000003,[2897.35007697],[3135.21167941]
0.48,[2906.17565032],[3143.15798839]
0.49,[2914.93540723],[3151.09252966]
0.5,[2923.63009243],[3159.01403582]
0.51,[2932.26044392],[3166.92132421]
0.52,[2940.82719309],[3174.81329145]
0.53,[2949.33106473],[3182.68890838]
0.54,[2957.77277699],[3190.54721533]
0.55,[2966.15304137],[3198.38731777]
0.56,[2974.47256259],[3206.20838225]
0.5700000000000001,[2982.73203851],[3214.00963255]
0.58,[2990.93215999],[3221.79034621]
0.59,[2999.07361078],[3229.5498512]
0.6,[3007.15706742],[3237.28752288]
0.61,[3015.1831991],[3245.00278108]
0.62,[3023.15266757],[3252.69508746]
0.63,[3031.06612707],[3260.36394297]
0.64,[3038.92422416],[3268.00888553]
0.65,[3046.72759776],[3275.6294878]
0.66,[3054.47687898],[3283.22535516]
0.67,[3062.17269114],[3290.79612376]
0.68,[3069.81564971],[3298.34145873]
0.6900000000000001,[3077.40636224],[3305.86105245]
0.7000000000000001,[3084.94542842],[3313.354623]
0.71,[3092.43344001],[3320.82191265]
0.72,[3099.87098085],[3328.26268646]
0.73,[3107.25862691],[3335.67673095]
0.74,[3114.59694628],[3343.06385289]
0.75,[3121.88649919],[3350.42387813]
0.76,[3129.12783807],[3357.75665047]
0.77,[3136.3215076],[3365.0620307]
0.78,[3143.46804472],[3372.33989556]
0.79,[3150.56797875],[3379.59013686]
0.8,[3157.62183137],[3386.81266063]
0.81,[3164.63011677],[3394.00738631]
0.8200000000000001,[3171.59334168],[3401.17424594]
0.8300000000000001,[3178.51200544],[3408.31318353]
0.84,[3185.38660008],[3415.42415428]
0.85,[3192.21761044],[3422.50712403]
0.86,[3199.0055142],[3429.56206859]
0.87,[3205.75078202],[3436.58897321]
0.88,[3212.45387757],[3443.58783202]
0.89,[3219.11525768],[3450.55864755]
0.9,[3225.73537241],[3457.50143021]
0.91,[3232.31466512],[3464.41619786]
0.92,[3238.8535726],[3471.30297539]
0.93,[3245.35252514],[3478.16179431]
0.9400000000000001,[3251.81194665],[3484.99269234]
0.9500000000000001,[3258.23225474],[3491.79571308]
0.96,[3264.61386081],[3498.57090566]
0.97,[3270.95717015],[3505.3183244]
0.98,[3277.26258207],[3512.03802854]
0.99,[3283.53048993],[3518.7300819]
1.0,[3289.7612813],[3525.39455263]
