Hidden Units,Lamda,Traning Set Accuracy,Validation Set Accuracy,Test Set Accuracy,Time Taken in Seconds
2,0,43.692%,41.83%,42.47%,26.923362016677856
4,0,58.321999999999996%,56.69%,57.34%,26.30616784095764
8,0,88.942%,88.0%,88.78%,28.359864711761475
16,0,92.494%,91.60000000000001%,92.12%,40.832167863845825
24,0,93.738%,93.05%,93.53%,42.56400680541992
32,0,95.306%,93.87%,94.64%,58.69363522529602
40,0,95.19%,94.51%,94.52000000000001%,45.661783933639526
50,0,95.56400000000001%,94.5%,94.83%,50.845649003982544
64,0,95.53%,94.35%,95.14%,57.105815172195435
80,0,95.93199999999999%,94.97%,95.54%,63.20944619178772
108,0,95.81%,94.99%,95.34%,65.59874892234802
